,name,team,year,games_played,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,points_per_game,position,player_efficiency,true_shooting,plus_minus,win_shares_percentage
382,Immanuel Quickley,NYK,2021,34,18.9,.387,.380,2.3,2.3,0.4,0.3,12.3,PG,17.9,.556,1.7,.139
383,Jahmi'us Ramsey,SAC,2021,4,4.0,.500,.333,1.0,0.3,0.0,0.3,1.3,SG,11.5,.625,-3.9,.019
384,Chasson Randle,ORL,2021,9,20.1,.429,.357,1.9,3.1,0.4,0.1,5.7,PG,9.7,.566,-4.1,.079
385,Julius Randle,NYK,2021,38,36.5,.478,.409,11.0,5.6,0.8,0.3,22.8,PF,20.3,.582,3.8,.147
386,Cam Reddish,ATL,2021,26,28.8,.365,.262,4.0,1.3,1.3,0.3,11.2,SF,9.2,.488,-3.6,.024
387,J.J. Redick,NOP,2021,31,18.6,.407,.364,1.7,1.3,0.3,0.1,8.7,SG,11.2,.575,-3.0,.053
388,Paul Reed,PHI,2021,5,11.0,.409,.000,2.0,0.6,0.2,0.8,3.6,PF,8.6,.409,-8.1,-0.046
389,Naz Reid,MIN,2021,35,20.7,.522,.340,4.7,1.3,0.7,1.2,11.9,C,18.4,.599,0.1,.118
390,Nick Richards,CHO,2021,8,2.9,.500,,0.8,0.0,0.0,0.0,1.4,PF,13.2,.637,-5.7,.139
391,Josh Richardson,DAL,2021,27,31.7,.440,.303,3.1,2.7,0.9,0.3,13.3,SG,12.0,.562,-2.2,.065
392,Austin Rivers,NYK,2021,21,21.0,.430,.364,2.2,2.0,0.6,0.0,7.3,SG,9.6,.545,-3.0,.057
393,Andre Roberson,BRK,2021,5,12.6,.143,.125,3.0,0.8,0.6,0.2,1.2,SG,4.2,.202,-6.2,-0.042
394,Duncan Robinson,MIA,2021,37,33.1,.423,.386,3.9,1.6,0.5,0.2,12.7,SF,9.3,.609,-2.3,.062
395,Glenn Robinson III,SAC,2021,23,16.0,.424,.364,2.0,0.9,0.2,0.1,5.3,SF,9.1,.554,-4.6,.026
396,Jerome Robinson,WAS,2021,13,17.0,.328,.290,2.5,1.4,0.5,0.2,5.2,SG,6.0,.456,-7.1,-0.019
397,Mitchell Robinson,NYK,2021,27,28.8,.660,,8.4,0.5,1.2,1.5,8.4,C,17.4,.647,0.8,.181
398,Isaiah Roby,OKC,2021,31,21.3,.528,.352,5.5,1.7,0.8,0.5,8.6,PF,15.3,.605,-0.5,.126
399,Rajon Rondo,ATL,2021,21,14.8,.392,.417,2.1,3.5,0.6,0.1,3.7,PG,10.3,.488,-2.0,.036
400,Derrick Rose,NYK,2021,25,23.5,.430,.377,2.2,4.5,1.2,0.4,13.5,PG,17.1,.519,0.5,.069
401,Terrence Ross,ORL,2021,35,29.5,.410,.344,3.5,2.2,1.1,0.5,15.5,SG,13.0,.528,-2.2,.038
402,Terry Rozier,CHO,2021,34,33.4,.488,.435,3.8,3.2,1.4,0.4,20.4,SG,17.8,.624,2.1,.121
403,Ricky Rubio,MIN,2021,35,25.4,.384,.321,3.1,6.5,1.3,0.0,7.9,PG,12.0,.503,-3.5,.054
404,D'Angelo Russell,MIN,2021,20,29.2,.426,.399,2.6,5.1,1.1,0.5,19.3,PG,16.2,.544,0.4,.037
405,Domantas Sabonis,IND,2021,35,36.5,.525,.333,11.1,6.0,1.0,0.6,20.8,PF,19.9,.593,3.3,.141
406,Luka Šamanić,SAS,2021,10,10.0,.441,.400,2.8,0.1,0.3,0.2,4.2,PF,11.4,.560,-3.7,.048
407,JaKarr Sampson,IND,2021,15,6.5,.469,.200,1.9,0.1,0.1,0.2,2.6,PF,11.6,.536,-5.0,.048
408,Dario Šarić,PHO,2021,18,18.4,.487,.365,4.1,1.3,0.8,0.2,11.4,C,18.8,.609,0.5,.145
409,Tomáš Satoranský,CHI,2021,24,20.9,.534,.463,2.5,4.4,0.5,0.2,7.2,SG,14.4,.663,-0.3,.127
410,Dennis Schröder,LAL,2021,33,31.2,.440,.317,3.5,4.5,0.9,0.2,14.9,SG,13.1,.543,-2.0,.094
411,Mike Scott,PHI,2021,18,17.7,.418,.377,2.7,0.3,0.4,0.1,4.3,PF,6.4,.564,-3.4,.045
412,Collin Sexton,CLE,2021,31,36.4,.487,.400,2.6,4.5,1.2,0.1,24.1,SG,17.3,.580,-0.1,.086
413,Landry Shamet,BRK,2021,34,20.1,.390,.374,1.9,1.1,0.4,0.1,8.1,SG,9.5,.562,-3.6,.045
414,Iman Shumpert,BRK,2021,2,5.5,.250,.000,0.5,0.0,0.5,0.0,1.0,SG,-0.3,.250,-13.0,-0.210
415,Pascal Siakam,TOR,2021,30,35.8,.453,.295,7.5,4.8,1.2,0.7,20.1,PF,17.5,.542,0.3,.111
416,Chris Silva,MIA,2021,7,9.1,.667,1.000,3.1,0.9,0.1,0.4,3.4,PF,13.3,.769,-4.1,.138
417,Ben Simmons,PHI,2021,31,33.9,.578,.286,7.9,7.6,1.6,0.7,16.1,PG,19.9,.614,3.8,.169
418,Anfernee Simons,POR,2021,33,16.9,.397,.411,2.4,1.3,0.2,0.2,8.2,SG,11.6,.564,-2.4,.046
419,Deividas Sirvydis,DET,2021,5,1.6,.000,.000,0.2,0.2,0.0,0.0,0.2,SG,-9.0,.129,-24.5,-0.304
420,Marcus Smart,BOS,2021,18,31.7,.402,.326,2.7,5.8,1.7,0.6,13.4,PG,15.5,.535,0.9,.117
421,Dennis Smith Jr.,DET,2021,16,18.6,.379,.327,2.7,3.2,1.1,0.6,7.2,PG,14.0,.471,0.1,.061
422,Ish Smith,WAS,2021,19,20.6,.379,.250,3.5,4.7,0.8,0.2,5.2,PG,10.6,.404,-2.5,.020
423,Jalen Smith,PHO,2021,11,5.2,.368,.250,1.0,0.2,0.0,0.2,1.5,PF,7.2,.402,-4.2,.007
424,Tony Snell,ATL,2021,24,18.6,.483,.569,2.1,1.2,0.1,0.3,5.1,SG,9.5,.691,-0.7,.085
425,Ray Spalding,HOU,2021,2,9.5,.500,.000,2.0,0.0,0.0,1.0,2.0,C,0.9,.410,-10.4,-0.165
426,Cassius Stanley,IND,2021,8,2.9,.286,.500,0.4,0.0,0.0,0.3,1.1,SG,6.8,.489,-7.9,.040
427,Lamar Stevens,CLE,2021,24,14.4,.404,.118,2.6,1.0,0.5,0.3,4.2,PF,8.6,.467,-5.0,.021
428,Isaiah Stewart,DET,2021,35,18.5,.564,.333,5.8,0.7,0.5,1.0,5.5,C,14.9,.589,-2.1,.123
429,Max Strus,MIA,2021,19,14.9,.456,.365,1.1,0.5,0.2,0.0,7.1,SF,11.8,.618,-1.0,.095
430,Edmond Sumner,IND,2021,22,11.4,.512,.346,1.4,0.5,0.6,0.1,5.1,SG,12.1,.602,-2.9,.061
431,Jae'Sean Tate,HOU,2021,35,27.5,.544,.310,5.2,1.7,0.9,0.5,10.0,SF,13.4,.607,-1.7,.113
432,Jayson Tatum,BOS,2021,32,35.8,.442,.370,7.0,4.4,1.3,0.5,25.1,SF,19.9,.551,3.1,.112
433,Jeff Teague,BOS,2021,29,18.0,.377,.435,1.6,2.1,0.8,0.2,6.4,PG,10.2,.509,-3.3,.037
434,Garrett Temple,CHI,2021,34,28.1,.427,.344,3.2,2.0,0.9,0.5,8.6,SG,9.3,.541,-2.9,.059
435,Tyrell Terry,DAL,2021,11,5.1,.313,.000,0.5,0.5,0.5,0.0,1.0,PG,6.0,.318,-5.5,-0.058
436,Daniel Theis,BOS,2021,35,24.4,.570,.368,5.1,1.3,0.7,1.1,9.5,C,15.5,.645,0.3,.137
437,Brodric Thomas,HOU,2021,4,6.0,.286,.167,1.0,1.0,0.3,0.3,2.5,SG,7.4,.496,-7.3,-0.046
438,Matt Thomas,TOR,2021,22,6.6,.391,.387,0.6,0.4,0.1,0.0,2.4,SG,8.1,.545,-4.5,.029
439,Tristan Thompson,BOS,2021,35,22.7,.535,.000,8.3,1.0,0.3,0.4,7.9,PF,15.5,.556,-2.2,.120
440,Sindarius Thornwell,NOP,2021,12,5.0,.412,.333,0.3,0.3,0.4,0.0,1.4,SG,9.1,.475,-2.6,.015
441,Matisse Thybulle,PHI,2021,34,18.4,.396,.294,1.5,0.9,1.5,0.9,3.4,SG,9.4,.495,1.1,.093
442,Killian Tillie,MEM,2021,2,10.5,.250,.500,1.0,0.0,0.5,0.0,1.5,C,-1.1,.375,-9.9,-0.036
443,Xavier Tillman Sr.,MEM,2021,28,20.3,.512,.278,4.6,1.6,0.9,0.6,7.0,PF,13.7,.564,-1.1,.116
444,Obi Toppin,NYK,2021,28,12.9,.500,.311,2.6,0.5,0.3,0.4,4.9,PF,12.1,.578,-1.6,.081
445,Juan Toscano-Anderson,GSW,2021,24,20.6,.558,.417,4.4,2.3,0.5,0.5,5.6,SG,11.3,.651,-1.0,.111
446,Karl-Anthony Towns,MIN,2021,17,32.5,.485,.356,10.7,3.8,0.8,1.7,21.6,C,21.8,.598,3.2,.128
447,Gary Trent Jr.,POR,2021,34,31.4,.419,.404,2.1,1.5,0.7,0.1,15.3,SG,12.6,.551,-2.5,.054
448,P.J. Tucker,HOU,2021,32,30.0,.366,.314,4.6,1.4,0.9,0.6,4.4,PF,5.5,.500,-4.8,.039
449,Myles Turner,IND,2021,33,31.5,.484,.314,6.5,0.9,1.0,3.4,13.5,C,16.5,.601,0.9,.128
450,Jonas Valančiūnas,MEM,2021,28,27.4,.541,.333,11.6,1.8,0.6,0.8,16.0,C,20.9,.590,0.1,.152
451,Denzel Valentine,CHI,2021,31,19.2,.378,.348,4.0,1.8,0.7,0.0,7.8,SG,10.9,.483,-2.7,.039
452,Jarred Vanderbilt,MIN,2021,35,19.1,.601,.500,5.7,1.6,1.1,0.6,5.9,PF,15.9,.609,-0.5,.127
453,Fred VanVleet,TOR,2021,34,36.7,.400,.383,4.4,6.6,1.7,0.8,20.1,SG,17.7,.549,2.6,.127
454,Devin Vassell,SAS,2021,26,17.3,.397,.397,3.2,1.1,1.1,0.3,5.5,SF,12.6,.529,0.2,.098
455,Gabe Vincent,MIA,2021,25,15.0,.364,.258,1.1,1.2,0.5,0.1,5.8,PG,6.5,.480,-6.5,-0.013
456,Noah Vonleh,BRK,2021,4,2.8,.000,.000,0.3,0.3,0.0,0.0,0.0,PF,-19.0,.000,-29.9,-0.485
457,Nikola Vučević,ORL,2021,37,33.9,.483,.408,11.7,3.7,1.0,0.6,24.6,C,24.2,.571,6.0,.157
458,Dean Wade,CLE,2021,28,11.4,.446,.423,2.1,0.6,0.2,0.2,3.4,PF,10.6,.605,-1.0,.077
459,Moritz Wagner,WAS,2021,23,14.7,.509,.308,3.0,1.2,0.7,0.3,7.1,C,15.6,.607,-0.4,.126
460,Kemba Walker,BOS,2021,21,30.2,.389,.357,3.6,4.4,1.0,0.4,18.1,PG,16.0,.528,0.8,.072
461,Lonnie Walker,SAS,2021,31,27.0,.407,.362,2.8,1.7,0.5,0.4,11.3,SG,9.0,.513,-4.2,.014
462,John Wall,HOU,2021,25,31.7,.424,.340,3.2,6.0,0.9,0.7,21.0,PG,16.4,.524,0.2,.029
463,Brad Wanamaker,GSW,2021,37,16.2,.358,.232,1.7,2.7,0.7,0.2,4.8,PG,9.2,.478,-3.7,.046
464,T.J. Warren,IND,2021,4,29.3,.529,.000,3.5,1.3,0.5,0.0,15.5,SF,11.9,.560,-5.5,.051
465,P.J. Washington,CHO,2021,32,29.4,.454,.389,6.4,2.9,1.1,1.2,12.7,PF,14.6,.568,-0.2,.091
466,Yuta Watanabe,TOR,2021,23,12.0,.339,.382,3.1,0.3,0.4,0.5,2.7,SF,9.5,.481,-3.1,.064
467,Tremont Waters,BOS,2021,10,9.8,.323,.400,0.8,3.0,0.6,0.0,3.3,PG,11.7,.478,-1.3,.019
468,Paul Watson,TOR,2021,17,5.6,.423,.476,1.1,0.2,0.0,0.1,1.9,SF,9.9,.615,-2.2,.090
469,Quinndary Weatherspoon,SAS,2021,5,4.8,.200,.000,0.4,0.6,0.2,0.0,0.8,SG,-10.3,.340,-22.2,-0.316
470,Russell Westbrook,WAS,2021,28,34.3,.432,.286,9.6,9.8,1.2,0.3,20.3,PG,16.2,.485,-0.1,.001
471,Coby White,CHI,2021,35,33.0,.420,.360,5.0,5.0,0.3,0.1,16.3,PG,12.2,.539,-3.3,.050
472,Derrick White,SAS,2021,9,24.0,.372,.313,1.6,3.6,0.9,1.0,11.1,SG,12.7,.488,-0.8,.050
473,Hassan Whiteside,SAC,2021,23,14.6,.580,.000,5.7,0.5,0.3,1.3,8.3,C,20.9,.586,-1.1,.094
474,Greg Whittington,DEN,2021,2,4.0,.000,.000,0.0,0.0,0.0,0.0,0.0,PF,-10.2,.000,-16.5,-0.263
475,Andrew Wiggins,GSW,2021,38,32.1,.462,.349,4.6,2.2,0.8,1.1,16.9,PF,13.1,.547,-2.1,.050
476,Grant Williams,BOS,2021,29,18.4,.462,.419,3.0,0.9,0.5,0.4,5.1,PF,8.3,.574,-3.8,.053
477,Kenrich Williams,OKC,2021,37,18.9,.552,.412,4.0,1.6,0.8,0.2,6.1,PF,13.6,.616,-0.4,.122
478,Lou Williams,LAC,2021,36,22.4,.428,.400,2.3,3.7,0.9,0.1,12.6,PG,16.2,.532,-1.6,.089
479,Patrick Williams,CHI,2021,34,28.6,.471,.392,4.7,1.3,0.7,0.7,10.0,PF,10.0,.563,-3.5,.050
480,Robert Williams,BOS,2021,30,16.1,.706,.000,5.8,1.2,0.9,1.6,6.8,C,25.7,.709,5.6,.244
481,Zion Williamson,NOP,2021,35,33.1,.615,.316,7.1,3.4,0.9,0.7,25.5,PF,26.5,.651,4.1,.193
482,D.J. Wilson,MIL,2021,12,8.8,.372,.357,2.1,0.3,0.1,0.3,3.6,PF,8.5,.490,-5.4,.024
483,Dylan Windler,CLE,2021,22,19.0,.456,.365,4.1,1.3,0.7,0.5,6.3,SF,12.7,.603,-0.3,.088
484,Justise Winslow,MEM,2021,7,22.3,.364,.188,5.3,1.9,0.4,0.7,9.4,SF,6.1,.401,-7.2,-0.075
485,Cassius Winston,WAS,2021,6,7.3,.400,.429,0.7,1.0,0.0,0.2,2.2,PG,9.8,.597,-4.0,.088
486,James Wiseman,GSW,2021,27,20.5,.520,.393,6.0,0.6,0.3,1.0,11.9,C,14.7,.559,-4.2,.059
487,Christian Wood,HOU,2021,17,31.2,.558,.421,10.2,1.3,0.9,1.5,22.0,C,24.1,.634,4.0,.163
488,Robert Woodard,SAC,2021,6,2.8,.545,.333,1.3,0.0,0.0,0.0,2.2,SF,22.8,.547,-2.0,.006
489,Delon Wright,DET,2021,30,29.0,.469,.382,4.5,4.8,1.4,0.5,10.5,SG,16.8,.575,3.0,.143
490,Thaddeus Young,CHI,2021,31,25.1,.611,.227,5.9,4.3,1.4,0.6,12.1,PF,21.1,.618,3.6,.175
491,Trae Young,ATL,2021,35,34.8,.431,.375,4.2,9.3,0.9,0.3,26.7,PG,22.9,.595,4.0,.163
492,Cody Zeller,CHO,2021,19,23.6,.510,.158,7.5,2.4,0.6,0.6,9.9,C,17.4,.557,0.2,.142
493,Ivica Zubac,LAC,2021,39,19.7,.659,.000,6.9,1.1,0.4,0.8,8.2,C,20.2,.710,0.6,.221
